asset_id,source_id,relative_path,media_type,byte_size,sha256,format_hint
a41e6555799af2cb409ff4e42f83a54e5ec9d1866e179d6596d92d8a7c37ce06,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/USGS 003.jpg,image,1440298,31a466b1e9f31b4efb99f7d5d2d3a78cec924095eb3be39ae610b17e536611e9,
a9b0ca794a53e66f30fa61b8ca393ce35f73d6a17542ad4e986c7c733b7a3cfe,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/USGS 004.jpg,image,1623128,b6209f059dda490ab8500e5a6c9da33cf2e2a62e1461661c89dd4e93ec4b2c09,
07130a87f441fae76e6948d844d09d88a4adfea844ed79ffa44314b8cce17c4d,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/USGS 005.jpg,image,1628860,d7155be3ca2106c7e78b45c5e76cb3c15d0aded98194efb5aad5919c817d4a15,
5ed862cebcef94edecc5f77ede9f9e2effbd4ba78a34567989809d2b17a5a197,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CI-CCC Locations.xls,site_metadata,19456,d7672d608b72681d0448e6835b66f4bc3b3d979ef08252c09d61a8df45874251,
19788c9a9921102f805015e5914cbdf001edb29db98992393b60e42e497d8f23,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CI_CCC_Forms.pdf,field_note,572377,d2faa8b7c95b57f2fc2d67935dbc83f0c85f831dc48d471ac540109a122fdf20,
b51615fccf88558cb372216010fc3de338882955267a60e0d9993d4645e33f9f,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/FILE FORMATS.docx,site_metadata,12911,9b2d6e024680bd7d41fd87b0b42dd28e475e360336d0cf6177877940511bc183,
388bae332152da7c65be10ba17756b8fb441e5d941f00094d87b37ba338c8476,usgs_arra_2013,CI.CLC/CI.CLC/CI.CLC.pdf,site_report,864712,bc2cf489ec8fa6b7e5029b5fa4dfd5b47c471272bc6db71310382608f97d7124,
0b2f54efbfaffd189d810e66244c0e25fae757dbd120ef41a1b3d0609a2c0701,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CI-CLC Locations.xlsx,site_metadata,10317,dba672bdd0f775f13b863b7f80bf1a6a718afe316a4a872f854483d8172f51e4,
79aee596e44346c821f501b0d2a4f2f875c92b7bccaf9e35917ef7880f0964ac,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CI_CLC_Forms.pdf,field_note,919598,159248b8199e3b9cc09d031ca063ad12084f89a6157f9cdd64a0bbbccab9034c,
9a46bd0f4423cc0e052dc83e1ff00899ac31c5af5d4f9f4bb0085c17502bdfca,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523214510.Q288.txt,ambient_noise_waveform,15160824,198f42861621b687419693ba92cbfa448b394747ae2b1549ba57bd6329b37a68,ascii_3c
c82430e7596b884fd2921a852767e2a583419184ea8f3d62cf932dcef0eb1964,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523214704.Q289.txt,ambient_noise_waveform,14641111,e3d57425240bce50214eeeaa7bcc0154f773afdac5ef3ed07bebfd7894dc948d,ascii_3c
412b561f52d9aef5f5f5af832f249457bf046089ca3fd693f355a16017731e6a,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523215402.Q292.txt,ambient_noise_waveform,13719613,3d82c151511bc8c4ec3cac50292ece42bea46f6750d1e3e5ca5a612903d4cf40,ascii_3c
